Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves,category
46219,Text,2014-07-07,An Unsinkable Titanic: Every Ship its own Lifeboat,en,"Walker, John Bernard, 1858-",Titanic (Steamship); Shipbuilding,VM,,V
46241,Text,2014-07-10,"Some Notes on Early Woodcut Books, with a Chapter on Illuminated Manuscripts",en,"Morris, William, 1834-1896",Illumination of books and manuscripts; Printing -- History; Illustrated books,Z,,Z
46273,Text,2014-07-13,Church Bells,en,"Walters, H. B. (Henry Beauchamp), 1867-1944",Bells,M,,M
46280,Text,2014-07-14,"James's Account of S. H. Long's Expedition, 1819-1820, part 3",en,"James, Edwin, 1797-1861; Long, Stephen H. (Stephen Harriman), 1784-1864; Say, Thomas, 1787-1834; Thwaites, Reuben Gold, 1853-1913 [Editor]",Indians of North America; West (U.S.) -- Description and travel; Rocky Mountains; United States -- Discovery and exploration,F590.3,,F
46286,Text,2014-07-14,Looking Back: An Autobiography,en,"Richardson, Merrick Abner, 1841-","Richardson, Merrick Abner, 1841-",CT,,C
46382,Text,2014-07-23,The Submarine in War and Peace: Its Development and its Possibilities,en,"Lake, Simon, 1866-1945",Submarines (Ships),VM,,V
46491,Text,2014-08-03,"Journal of the Proceedings of the Linnean Society - Vol. 4
Zoology",en,Linnean Society of London,Zoology -- Periodicals,QL,,Q
46506,Text,2014-08-04,"A Catalogue of Books and Announcements of Methuen and Company, October 1902",en,Methuen & Co.,Publishers' catalogs -- England; Methuen & Co. -- Catalogs,Z,,Z
46507,Text,2014-08-04,"A Catalogue of Books and Announcements of Methuen and Company, March 1897",en,Methuen & Co.,Publishers' catalogs -- England; Methuen & Co. -- Catalogs,Z,,Z
46513,Text,2014-08-05,The Westward Movement,en,"Barstow, Charles L. (Charles Lester), 1867- [Editor]",West (U.S); Frontier and pioneer life,F590.3,,F
46570,Text,2014-08-12,The Pastor's Fire-side Vol. 1 (of 4),en,"Porter, Jane, 1776-1850","Wharton, Philip Wharton, Duke of, 1698-1731 -- Fiction; Riperdá, Juan Guillermo, Duke of, 1680-1737 -- Fiction",PR,,P
