Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves,category
39,Text,1992-09-01,Hitchhiker's Guide to the Internet,en,"Krol, Ed, 1951-",Internet; Computer networks,TK,,T
63,Text,1993-04-01,"The Number ""e""",en,Unknown,Mathematics; Mathematical constants,QA,Historical Fiction,Q
132,Text,1994-05-01,The Art of War,en,"Sunzi, active 6th century B.C.; Giles, Lionel, 1875-1958 [Translator]",Military art and science -- Early works to 1800; War -- Early works to 1800,U,,U
248,Text,1995-04-01,Webster's Unabridged Dictionary (2nd 100 Pages),en,"Webster, Noah, 1758-1843",English language -- Dictionaries,AG; PE,,A
252,Text,1995-04-01,"Copyright Law of the United States of America
Contained in Title 17 of the United States Code",en,Library of Congress. Copyright Office; United States,Copyright -- United States,KF,,K
276,Text,1995-06-01,"Franz Haydn's 104th Symphony [1794-5]
MIDI file",en,"Haydn, Joseph, 1732-1809",Music,M,,M
354,Text,1995-11-01,The Story of a Pioneer,en,"Jordan, Elizabeth Garver, 1867-1947; Shaw, Anna Howard, 1847-1919","Shaw, Anna Howard, 1847-1919; Women -- Suffrage -- United States; Women social reformers -- United States -- Biography; Women's rights -- United States",JK,,J
404,Text,1996-01-01,Industrial Biography: Iron Workers and Tool Makers,en,"Smiles, Samuel, 1812-1904",Industrial arts -- Biography; Iron industry and trade -- Great Britain -- Biography,T,,T
465,Text,1996-03-01,The Mountains,en,"White, Stewart Edward, 1873-1946",California -- Description and travel; Outdoor life,PS,,P
609,Text,1996-08-01,"America, Through the Spectacles of an Oriental Diplomat",en,"Wu, Tingfang, 1842-1922",United States -- Civilization -- 1865-1918; United States -- Social life and customs -- 1865-1918; China -- Social life and customs -- 1644-1912; China -- Civilization -- 1644-1912,E151,,E
634,Text,1996-08-01,Miscellaneous Mathematical Constants,en,"Plouffe, Simon, 1956- [Editor]",Mathematical constants,QA,Mathematics,Q
725,Text,1996-11-01,Men of Invention and Industry,en,"Smiles, Samuel, 1812-1904",Inventors -- Biography; Industrial arts -- Biography,T,,T
816,Text,2006-01-21,Democracy in America — Volume 2,en,"Tocqueville, Alexis de, 1805-1859; Reeve, Henry, 1813-1895 [Translator]",United States -- Politics and government; United States -- Social conditions; Democracy -- United States,JK,,J
886,Text,1997-04-01,Letters from the Cape,en,"Duff Gordon, Lucie, Lady, 1821-1869",Cape of Good Hope (South Africa) -- Description and travel,DT,,D
908,Text,2006-03-22,Treatise on Parents and Children,en,"Shaw, Bernard, 1856-1950",Essays; Parent and child,HQ,,H
1058,Text,1997-10-01,The Mirror of the Sea,en,"Conrad, Joseph, 1857-1924","Conrad, Joseph, 1857-1924 -- Travel; Seafaring life",G; PR,,G
1201,Text,1998-02-01,An Essay on the Trial By Jury,en,"Spooner, Lysander, 1808-1887",Jury -- United States; Jury -- Great Britain,K,,K
1240,Text,1998-03-01,The Playboy of the Western World: A Comedy in Three Acts,en,"Synge, J. M. (John Millington), 1871-1909",Ireland -- Drama,PR,,P
1248,Text,2006-02-19,"Last of the Great Scouts: The Life Story of William F. Cody [""Buffalo Bill""]",en,"Wetmore, Helen Cody","Buffalo Bill, 1846-1917; Scouts (Reconnaissance) -- West (U.S.) -- Biography; Entertainers -- United States -- Biography; West (U.S.) -- Biography; Frontier and pioneer life -- West (U.S.); Buffalo Bill's Wild West Show; Pioneers -- West (U.S.) -- Biography",F590.3,,F
1370,Text,1998-07-01,Autobiography of Andrew Dickson White — Volume 2,en,"White, Andrew Dickson, 1832-1918","Cornell University; Diplomats -- United States -- Biography; White, Andrew Dickson, 1832-1918",E660,,E
1378,Text,1998-07-01,The Land of Footprints,en,"White, Stewart Edward, 1873-1946","Africa, East -- Description and travel; Hunting -- Africa, East",SK,,S
1488,Text,2006-02-15,"The True Story of Christopher Columbus, Called the Great Admiral",en,"Brooks, Elbridge S. (Elbridge Streeter), 1846-1902","Columbus, Christopher -- Juvenile literature; Explorers -- Juvenile literature",E011,,E
1574,Text,1998-12-01,Historic Girls: Stories Of Girls Who Have Influenced The History Of Their Times,en,"Brooks, Elbridge S. (Elbridge Streeter), 1846-1902",Biography -- Juvenile literature; Girls -- Biography,CT; PZ,,C
1615,Text,1999-01-01,"Old English Libraries
The Making, Collection, and Use of Books During the Middle Ages",en,"Savage, Ernest Albert, 1877-1966","Libraries -- England -- History -- 400-1400; Books and reading -- England -- History -- To 1500; Book collecting -- England -- History -- To 1500; Manuscripts, Medieval -- England; Library catalogs -- England; Scriptoria -- England",Z,Bibliomania,Z
1662,Text,1999-03-01,The 1997 CIA World Factbook,en,United States. Central Intelligence Agency,"World politics -- Handbooks, manuals, etc.; Geography -- Handbooks, manuals, etc.; Political science -- Handbooks, manuals, etc.; Political statistics -- Handbooks, manuals, etc.",G,CIA World Factbooks,G
1663,Text,1999-03-01,"Webster's Seventh of March Speech and the Secession Movement, 1850",en,"Foster, Herbert Darling, 1863-1927; Stephenson, Nathaniel W. (Nathaniel Wright), 1867-1935 [Commentator]","Webster, Daniel, 1782-1852. Seventh of March speech; Secession",E300,,E
1705,Text,1999-04-01,A History of Science — Volume 1,en,"Williams, Edward Huntington, 1868-1944; Williams, Henry Smith, 1863-1943",Science -- History,Q,,Q
1738,Text,1999-05-01,Statesman,en,"Plato, 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]",Classical literature; Political science -- Early works to 1800,JC; PA,,J
1788,Text,1999-06-01,Sir John Oldcastle,en,"Shakespeare (spurious and doubtful works), 1564-1616","Oldcastle, John, Sir, -1417 -- Drama",PR,,P
1946,Text,2006-02-26,On War,en,"Clausewitz, Carl von, 1780-1831; Graham, J. J. (James John) [Translator]",Military art and science; War,U,,U
2018,Text,1999-12-01,The Library,en,"Lang, Andrew, 1844-1912",Books; Book collecting,Z,Bibliomania,Z
2053,Text,2000-01-01,"The American Republic: Its Constitution, Tendencies, and Destiny",en,"Brownson, Orestes Augustus, 1803-1876","Constitutional history -- United States; Reconstruction (U.S. history, 1865-1877); Secession -- United States; United States -- Politics and government -- 1815-1861 -- Philosophy",JK,,J
2055,Text,2000-02-01,Two Years Before the Mast,en,"Dana, Richard Henry, 1815-1882; Keyes, Homer Eaton, 1875-1938 [Author of introduction, etc.]","Seafaring life; Dana, Richard Henry, 1815-1882; Voyages and travels; Sailors",G,Harvard Classics,G
2105,Text,2008-06-16,History of Friedrich II of Prussia — Volume 05,en,"Carlyle, Thomas, 1795-1881","Social problems; Frederick II, King of Prussia, 1712-1786; Prussia (Germany) -- History -- Frederick II, 1740-1786",DD,,D
2157,Text,2000-04-01,Female Suffrage: A Letter to the Christian Women of America,en,"Cooper, Susan Fenimore, 1813-1894",Women's rights -- United States; Women -- Suffrage -- United States -- History -- 19th century; Women -- Suffrage -- United States -- History -- 19th century -- Sources; Christian women -- Conduct of life; Women -- United States -- History,JK,Suffrage,J
2352,Text,2000-10-01,Eurasia,en,"Evans, Christopher, 1847-1917",Utopias,HX,,H
2394,Text,2000-11-01,The Grand Canyon of Arizona: How to See It,en,"James, George Wharton, 1858-1923",Grand Canyon (Ariz.) -- Description and travel; Arizona -- Description and travel,F786,,F
2400,Text,2000-11-01,"Vikram and the Vampire: Classic Hindu Tales of Adventure, Magic, and Romance",en,"Burton, Richard Francis, Sir, 1821-1890; Burton, Isabel, Lady, 1831-1896 [Editor]",Tales -- India; Vampires -- India -- Folklore; Hindus -- Folklore,GR,India,G
2444,Text,2000-12-01,Oxford,en,"Lang, Andrew, 1844-1912",University of Oxford -- History,LF,,L
2481,Text,2001-01-01,The Civilization of Illiteracy,en,"Nadin, Mihai, 1938-",Literacy -- Social aspects; Sociolinguistics; Technology and civilization; Technology -- Social aspects; Computers and literacy; Social history; Information society; Oral history,LC,,L
2935,Text,2001-11-01,On the Study of Zoology,en,"Huxley, Thomas Henry, 1825-1895",Science,Q,,Q
2964,Text,2004-12-11,"The Memoirs of Jacques Casanova de Seingalt, 1725-1798. Volume 14: Switzerland",en,"Casanova, Giacomo, 1725-1798; Machen, Arthur, 1863-1947 [Translator]","Casanova, Giacomo, 1725-1798; Europe -- History -- 18th century -- Biography",D,,D
3003,Text,2002-01-01,"Wild Flowers
An Aid to Knowledge of Our Wild Flowers and Their Insect Visitors",en,"Blanchan, Neltje, 1865-1918",Wild flowers -- North America,QK,Botany,Q
3014,Text,2002-01-01,The Old Northwest: A Chronicle of the Ohio Valley and Beyond,en,"Ogg, Frederic Austin, 1878-1951; Johnson, Allen, 1870-1931 [Editor]","Northwest, Old -- History; Ohio River Valley -- History",E151; F476,Children's History; United States,E
3029,Text,2002-01-01,Real Soldiers of Fortune,en,"Davis, Richard Harding, 1864-1916","Soldiers of fortune; MacIver, Henry Ronald; Harden-Hickey, James Aloysius, 1854-1898; Churchill, Winston, 1874-1965; McGiffin, Philo Norton, 1863-1897; Walker, William, 1824-1860",CT,Biographies,C
3066,Text,2002-02-01,The Red Man's Continent: A Chronicle of Aboriginal America,en,"Huntington, Ellsworth, 1876-1947; Johnson, Allen, 1870-1931 [Editor]",Indians of North America; Human geography -- North America; Physical geography -- North America,E151; GF,Children's History; Native America; United States,E
3325,Text,2002-07-01,Locrine: A Tragedy,en,"Swinburne, Algernon Charles, 1837-1909",Tragedies; Britons -- Drama,PR,,P
3421,Text,2002-09-01,Bramble-Bees and Others,en,"Fabre, Jean-Henri, 1823-1915; Teixeira de Mattos, Alexander, 1865-1921 [Translator]",Bees,QL,Animals-Wild-Insects,Q
3452,Text,2002-10-01,Tea Leaves,en,Francis H. Leggett & Co.,Tea; Tea -- History; Tea trade -- History; Tea -- Social aspects,SB,Horticulture,S
3470,Text,2002-10-01,Such Is Life,en,"Furphy, Joseph, 1843-1912",Australia -- Fiction; Diary fiction; Frontier and pioneer life -- Fiction; Bullockies -- Fiction,PR,Australia,P
3725,Text,2003-02-01,Famous Men of the Middle Ages,en,"Haaren, John H. (John Henry), 1855-1916; Poland, Addison B.",Europe -- Biography; Europe -- History -- 476-1492,CT,Biographies,C
3742,Text,2003-02-01,The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,en,"Paine, Thomas, 1737-1809; Conway, Moncure Daniel, 1832-1907 [Editor]","France -- History -- Revolution, 1789-1799 -- Causes; Political science; Great Britain -- Politics and government -- 1760-1820; Burke, Edmund, 1729-1797. Reflections on the revolution in France",JC,Banned Books from Anne Haight's list,J
3833,Text,2003-03-01,Australian Legendary Tales: folk-lore of the Noongahburrahs as told to the Piccaninnies,en,"Parker, K. Langloh (Katie Langloh), 1856-1940",Folklore -- Australia,GR,Australia,G
3889,Text,2004-12-04,"Memoirs of the Court of Marie Antoinette, Queen of France, Volume 6
Being the Historic Memoirs of Madam Campan, First Lady in Waiting to the Queen",en,"Campan, Mme. (Jeanne-Louise-Henriette), 1752-1822","France -- Court and courtiers; Marie Antoinette, Queen, consort of Louis XVI, King of France, 1755-1793",DC,,D
4073,Text,2003-05-01,"Ex Voto: An Account of the Sacro Monte or New Jerusalem at Varallo-Sesia
With Some Notice of Tabachetti's Remaining Work at the Sanctuary of Crea",en,"Butler, Samuel, 1835-1902","Sacro Monte di Varallo (Sanctuary); Tabaguet, Jean Baptiste, 1568 -1615; Art -- Italy -- Varallo-Sesia",N,,N
4089,Text,2003-05-01,"The American Nation: A History — Volume 1: European Background of American History, 1300-1600",en,"Cheyney, Edward Potts, 1861-1947",America -- Discovery and exploration; Discoveries in geography; Commerce -- History; Reformation; Great Britain -- Politics and government -- 1066-1485; Great Britain -- Politics and government -- 1485-1603,E011,,E
4102,Text,2003-06-01,"The Mayflower and Her Log; July 15, 1620-May 6, 1621 — Volume 2",en,"Ames, Azel, 1845-1908","Pilgrims (New Plymouth Colony); Mayflower (Ship); Massachusetts -- History -- New Plymouth, 1620-1691",F001,,F
4248,Text,2003-07-01,The Problem of the Ohio Mounds,en,"Thomas, Cyrus, 1825-1910",Mounds -- Ohio; Indians of North America -- Ohio; Ohio -- Antiquities,E011,Archaeology; Native America,E
4257,Text,2004-06-01,Andersonville: A Story of Rebel Military Prisons — Volume 1,en,"McElroy, John, 1846-1929","Andersonville Prison; Confederate States of America. Army -- Prisons; Military prisons; United States -- History -- Civil War, 1861-1865 -- Prisoners and prisons",E456,US Civil War,E
4260,Text,2004-06-01,Andersonville: A Story of Rebel Military Prisons — Volume 4,en,"McElroy, John, 1846-1929","Andersonville Prison; Confederate States of America. Army -- Prisons; Military prisons; United States -- History -- Civil War, 1861-1865 -- Prisoners and prisons",E456,US Civil War,E
4318,Text,2003-08-01,Reproduction of Copyrighted Works by Educators and Librarians,en,Library of Congress. Copyright Office,Copyright -- United States; Copyright infringement -- United States; Fair use (Copyright) -- United States; Photocopying services in libraries -- United States,KF,,K
4321,Text,2003-08-01,"Margot Asquith, an Autobiography - Two Volumes in One",en,"Asquith, Margot, 1864-1945","Autobiographies; Asquith, Margot, 1864-1945",CT; DA,"Bestsellers, American, 1895-1923",C
4337,Text,2003-08-01,Power Through Repose,en,"Call, Annie Payson, 1853-1940",Mental health; Rest; Nervous system,RA,,R
4343,Text,2003-08-01,How and When to Be Your Own Doctor,en,"Moser, Isabel A.; Solomon, Steve, 1942-","Hygiene; Diet; Therapeutics, Physiological",R,Medicine,R
4351,Text,2003-08-01,The English Constitution,en,"Bagehot, Walter, 1826-1877",Great Britain -- Politics and government; Constitutional history -- Great Britain; Constitutional law -- Great Britain,JN; KD,British Law,J
4365,Text,2003-08-01,"Supplementary Copyright Statutes, US Copy. Office",en,Library of Congress. Copyright Office,Copyright -- United States; Copyright,KF,,K
4385,Text,2003-08-01,As a Matter of Course,en,"Call, Annie Payson, 1853-1940",Mental health -- Popular works,RA,,R
4608,Text,2003-11-01,"Tom Swift in Captivity, Or, A Daring Escape By Airship",en,"Appleton, Victor","Adventure and adventurers -- Juvenile fiction; Swift, Tom (Fictitious character) -- Juvenile fiction; Giants -- Juvenile fiction; South America -- Juvenile fiction",PZ; PS,Children's Book Series,P
4640,Text,2003-11-01,San Francisco During the Eventful Days of April 1906,en,"Stetson, James B. (James Burgess), 1832-1909","San Francisco Earthquake and Fire, Calif., 1906; San Francisco (Calif.) -- History",F850.5,,F
4690,Text,2003-11-01,Famous Affinities of History: The Romance of Devotion. Volume 2,en,"Orr, Lyndon",Biography; Love; Women -- Biography,CT,Biographies,C
4692,Text,2003-11-01,Famous Affinities of History: The Romance of Devotion. Volume 4,en,"Orr, Lyndon",Biography; Love; Women -- Biography,CT,Biographies,C
4762,Text,2003-12-01,"Civil Government of Virginia
A Text-book for Schools Based Upon the Constitution of 1902 and Conforming to the Laws Enacted in Accordance Therewith",en,"Fox, William Fayette, 1836-1909",Virginia -- Politics and government,JK,,J
4833,Text,2004-01-01,The Rise of the Dutch Republic — Volume 31: 1580-82,en,"Motley, John Lothrop, 1814-1877","Netherlands -- History -- Eighty Years' War, 1568-1648; Netherlands -- Church history",DH,,D
4908,Text,2004-01-01,Five of Maxwell's Papers,en,"Maxwell, James Clerk, 1831-1879",Mathematics; Physics,QC,Physics,Q
4924,Text,2004-01-01,Dry-Farming : A System of Agriculture for Countries under a Low Rainfall,en,"Widtsoe, John Andreas, 1872-1952",Dry farming,SB,Horticulture,S
4951,Image,2004-01-01,"String Quartet No. 17 in B flat major, ""Hunt"", K. 458",en,"Mozart, Wolfgang Amadeus, 1756-1791",String quartets -- Scores,M,,M
5011,Text,2004-02-01,State of the Union Addresses,en,"Adams, John, 1735-1826",Presidents -- United States -- Messages; United States -- Politics and government -- Sources,J,,J
5025,Text,2004-02-01,State of the Union Addresses,en,"Johnson, Andrew, 1808-1875",Presidents -- United States -- Messages; United States -- Politics and government -- Sources,J,,J
5026,Text,2004-02-01,State of the Union Addresses,en,"Grant, Ulysses S. (Ulysses Simpson), 1822-1885",Presidents -- United States -- Messages; United States -- Politics and government -- Sources,J,,J
5029,Text,2004-02-01,State of the Union Addresses,en,"Cleveland, Grover, 1837-1908",Presidents -- United States -- Messages; United States -- Politics and government -- Sources,J,,J
5031,Text,2004-02-01,State of the Union Addresses,en,"McKinley, William, 1843-1901",Presidents -- United States -- Messages; United States -- Politics and government -- Sources,J,,J
5033,Text,2004-02-01,State of the Union Addresses,en,"Taft, William H. (William Howard), 1857-1930",Presidents -- United States -- Messages; United States -- Politics and government -- Sources,J,,J
5041,Text,2004-02-01,State of the Union Addresses,en,"Kennedy, John F. (John Fitzgerald), 1917-1963",Presidents -- United States -- Messages; United States -- Politics and government -- Sources,J,,J
5042,Text,2004-02-01,State of the Union Addresses,en,"Johnson, Lyndon B. (Lyndon Baines), 1908-1973",Presidents -- United States -- Messages; United States -- Politics and government -- Sources,J,,J
5043,Text,2004-02-01,State of the Union Addresses,en,"Nixon, Richard M. (Richard Milhous), 1913-1994",Presidents -- United States -- Messages; United States -- Politics and government -- Sources,J,,J
5045,Text,2004-02-01,State of the Union Addresses,en,"Carter, Jimmy, 1924-",Presidents -- United States -- Messages; United States -- Politics and government -- Sources,J,,J
5050,Text,2004-02-01,State of the Union Addresses (1790-2006),en,United States. Presidents,Presidents -- United States -- Messages; United States -- Politics and government -- Sources,J,,J
5190,Image,2004-02-01,"Brandenburg Concerto No. 5 in D Major, BWV 1050",en,"Bach, Johann Sebastian, 1685-1750",Concerti grossi,M,,M
5216,MovingImage,2004-03-01,Film: Set of 4 Atomic Bomb Test Films,en,,Nuclear weapons -- Testing; Atomic bomb -- Testing,U,,U
5268,Text,2004-03-01,Courts and Criminals,en,"Train, Arthur Cheney, 1875-1945","Crime -- United States; Criminal justice, Administration of -- United States; Criminals -- United States",KF,Crime Nonfiction,K
5324,Text,2004-03-01,The Book of Were-Wolves,en,"Baring-Gould, S. (Sabine), 1834-1924",Werewolves,GR,,G
5346,Text,2004-03-01,"Journals of Expeditions of Discovery into Central Australia and Overland from Adelaide to King George's Sound in the Years 1840-1: Sent By the Colonists of South Australia, with the Sanction and Support of the Government: Including an Account of the Manners and Customs of the Aborigines and the State of Their Relations with Europeans — Complete",en,"Eyre, Edward John, 1815-1901",Australia -- Discovery and exploration; Ethnology -- Australia,DU,Travel; Australia,D
5418,Text,2004-04-01,The Home Acre,en,"Roe, Edward Payson, 1838-1888",Gardening,SB,,S
5448,Text,2004-04-01,Uarda : a Romance of Ancient Egypt — Volume 10,en,"Ebers, Georg, 1837-1898; Bell, Clara, 1834-1927 [Translator]",Egypt -- History -- To 332 B.C. -- Fiction; German fiction -- Translations into English,PT,Historical Fiction,P
5609,Text,2004-05-01,"The Corporation of London, Its Rights and Privileges",en,"Allen, William Ferneley, 1816-1877",Corporation of London (England) -- Politics and government,JS,United Kingdom,J
5620,Text,2004-05-01,"Palaces and Courts of the Exposition
A Handbook of the Architecture, Sculpture and Mural Paintings, with Special Reference to the Symbolism",en,"James, Juliet Helena Lumbard, 1864-","Panama-Pacific International Exposition (1915 : San Francisco, Calif.)",N,Art,N
5645,Text,2004-07-11,Sketches by Seymour — Volume 01,en,"Seymour, Robert, 1798-1836",Caricatures and cartoons -- Great Britain,NC,,N
5669,Text,2004-05-01,Considerations on Representative Government,en,"Mill, John Stuart, 1806-1873",Representative government and representation,JC,Philosophy; Politics,J
5890,Text,2004-06-01,Games for Hallow-e'en,en,"Blain, Mary E., 1872-",Games; Halloween,GT,,G
5995,Text,2005-05-29,"Chapters of Opera
Being historical and critical observations and records concerning the lyric drama in New York from its earliest days down to the present time",en,"Krehbiel, Henry Edward, 1854-1923",Opera -- New York (State) -- New York,ML,Opera,M
6117,Text,2004-07-01,Success with Small Fruits,en,"Roe, Edward Payson, 1838-1888",Berries,SB,Horticulture,S
6158,Text,2004-07-01,The True Citizen: How to Become One,en,"Markwick, William Fisher, 1848-1911; Smith, William Alexander, 1866-","Readers -- Citizenship; Citizenship -- Problems, exercises, etc.; Conduct of life -- Problems, exercises, etc.",JK; PE,,J
6242,Text,2004-11-18,Parables of a Province,en,"Parker, Gilbert, 1862-1932",Short stories; Canadian fiction; Parables,PS,,P
6581,Text,2004-09-01,A Treatise on the Six-Nation Indians,en,"Mackenzie, J. B., 1851-1919",Iroquois Indians -- History; Iroquois Indians -- Treaties; Iroquois Indians -- Social life and customs; Indians of North America -- Ontario,E011,,E
6636,Text,2004-10-01,"Hold Up Your Heads, Girls! Helps for Girls, in School and Out",en,"Ryder, Annie H.",Girls,HQ,,H
6665,Text,2004-10-01,"The United States of America, Part 1: 1783-1830",en,"Sparks, Edwin Erle, 1860-1924",United States -- History,E151,,E
6721,Text,2006-01-07,The Voyages of Captain Scott : Retold from the Voyage of the Discovery and Scott's Last Expedition,en,"Turley, Charles, 1868-1940","South Pole; Antarctica; Scott, Robert Falcon, 1868-1912; British National Antarctic Expedition (1901-1904); British Antarctic (""Terra Nova"") Expedition (1910-1913); Discovery (Ship); Terra Nova (Ship)",G,,G
6856,Text,2004-11-01,"The Great Riots of New York, 1712 to 1873",en,"Headley, Joel Tyler, 1813-1897","Riots -- New York (State) -- New York; Draft Riot, New York, N.Y., 1863; New York (N.Y.) -- History",F106,,F
7026,Text,2004-12-01,Children's Edition of Touching Incidents and Remarkable Answers to Prayer,en,"Shaw, S. B. (Solomon Benjamin), 1854-",Prayer -- Christianity,BV,Christianity; Children's Religion,B
7213,Text,2005-01-01,My Life and Work,en,"Crowther, Samuel, 1880-1947; Ford, Henry, 1863-1947","Industrialists -- United States -- Biography; Ford, Henry, 1863-1947; Ford Motor Company -- History; Automobile industry and trade -- United States -- History; Automobiles -- History; Businesspeople -- United States -- Biography",HD,,H
7223,Text,2005-01-01,The Belgian Cookbook,en,"Luck, Brian, Mrs. [Editor]","Cooking, Belgian",TX,Cookbooks and Cooking,T
7403,Text,2005-02-01,Letters of Catherine Benincasa,en,"Catherine, of Siena, Saint, 1347-1380; Scudder, Vida Dutton, 1861-1954 [Translator]","Catherine, of Siena, Saint, 1347-1380 -- Correspondence; Christian women saints -- Italy -- Siena -- Correspondence",BX,,B
7404,Text,2005-02-01,John James Audubon,en,"Burroughs, John, 1837-1921","Audubon, John James, 1785-1851; Naturalists -- Biography; Scientists -- Biography",QL,,Q
7443,Text,2005-02-01,Windy McPherson's Son,en,"Anderson, Sherwood, 1876-1941",Fathers and sons -- Fiction; Bildungsromans; Young men -- Fiction,PS,,P
7449,Text,2005-02-01,"Memoirs of General Lafayette
With an Account of His Visit to America and His Reception By the People of the United States; From His Arrival, August 15th, to the Celebration at Yorktown, October 19th, 1824.",en,"Knapp, Samuel L. (Samuel Lorenzo), 1783-1838; Lafayette, Marie Joseph Paul Yves Roch Gilbert Du Motier, marquis de, 1757-1834 [Contributor]","United States -- History -- Revolution, 1775-1783; Lafayette, Marie Joseph Paul Yves Roch Gilbert Du Motier, marquis de, 1757-1834; France -- History -- 1789-1900",E201,,E
7786,Text,2005-03-01,The One Great Reality,en,"Clayton, Louisa","Sermons, English -- 20th century; Jesus Christ -- Sermons; God -- Sermons",BT,,B
7906,Text,2004-07-15,"American Historical and Literary Curiosities, Part 06",en,"Smith, J. Jay (John Jay), 1798-1881; Watson, John F. (John Fanning), 1779-1860","United States -- History -- Revolution, 1775-1783 -- Sources; Autographs -- United States -- Facsimiles",Z,,Z
7907,Text,2004-07-15,"American Historical and Literary Curiosities, Part 07",en,"Smith, J. Jay (John Jay), 1798-1881; Watson, John F. (John Fanning), 1779-1860","United States -- History -- Revolution, 1775-1783 -- Sources; Autographs -- United States -- Facsimiles",Z,,Z
7908,Text,2004-07-15,"American Historical and Literary Curiosities, Part 08",en,"Smith, J. Jay (John Jay), 1798-1881; Watson, John F. (John Fanning), 1779-1860","United States -- History -- Revolution, 1775-1783 -- Sources; Autographs -- United States -- Facsimiles",Z,,Z
7913,Text,2004-07-15,"American Historical and Literary Curiosities, Part 13.
Second Series",en,"Smith, J. Jay (John Jay), 1798-1881","United States -- History -- Revolution, 1775-1783 -- Sources; Autographs -- United States -- Facsimiles",Z,,Z
7922,Text,2004-07-16,"American Historical and Literary Curiosities, Part 22.
Second Series",en,"Smith, J. Jay (John Jay), 1798-1881","United States -- History -- Revolution, 1775-1783 -- Sources; Autographs -- United States -- Facsimiles",Z,,Z
7923,Text,2004-07-15,"American Historical and Literary Curiosities, Series One",en,"Smith, J. Jay (John Jay), 1798-1881; Watson, John F. (John Fanning), 1779-1860","United States -- History -- Revolution, 1775-1783 -- Sources; Autographs -- United States -- Facsimiles",Z,,Z
8006,Text,2005-04-01,"The Bible, King James version, Book 6: Joshua",en,Anonymous,Bible. Joshua,BS,Judaism,B
8047,Text,2005-04-01,"The Bible, King James version, Book 47: 2 Corinthians",en,Anonymous,"Bible. Corinthians, 2nd",BS,Harvard Classics,B
8116,Text,2005-05-01,"The Communistic Societies of the United States
From Personal Visit and Observation",en,"Nordhoff, Charles, 1830-1901",Collective settlements -- United States,HX,,H
8160,Text,2005-05-01,Recollections of My Childhood and Youth,en,"Brandes, Georg, 1842-1927","Autobiographies; Brandes, Georg, 1842-1927 -- Childhood and youth",CT; PT,,C
8327,Text,2005-06-01,"The Bible, Douay-Rheims, Book 27: Isaias
The Challoner Revision",en,,Bible. Isaiah,BS,,B
8340,Text,2005-06-01,"The Bible, Douay-Rheims, Book 40: Habacuc
The Challoner Revision",en,,Bible. Habakkuk,BS,,B
8347,Text,2005-06-01,"The Bible, Douay-Rheims, Book 47: Matthew
The Challoner Revision",en,,Bible. Matthew,BS,,B
8483,Text,2005-07-01,"Scientific American Supplement, No. 324, March 18, 1882",en,Various,Science -- Periodicals,T,Scientific American,T
8579,Text,2005-07-01,Daughters of the Cross: or Woman's Mission,en,"Eddy, Daniel C. (Daniel Clarke), 1823-1896",Women -- Biography; Women missionaries,BV; HQ,,B
8581,Text,2005-07-01,"The Art of Money Getting; Or, Golden Rules for Making Money",en,"Barnum, P. T. (Phineas Taylor), 1810-1891",Success; Success in business,HF,,H
8708,Text,2004-07-28,"The Doré Bible Gallery, Volume 8",en,"Doré, Gustave, 1832-1883 [Illustrator]",Bible -- Illustrations,N,,N
8710,Text,2004-07-29,"The Doré Bible Gallery, Complete
Containing One Hundred Superb Illustrations, and a Page of Explanatory Letter-press Facing Each",en,"Doré, Gustave, 1832-1883 [Illustrator]",Bible -- Illustrations,N,,N
8831,Text,2005-09-01,"Weymouth New Testament in Modern Speech, John",en,"Weymouth, Richard Francis, 1822-1902",Bible. John,BS,,B
8950,Text,2005-09-01,"Scientific American Supplement, No. 385, May 19, 1883",en,Various,Science -- Periodicals,T,Scientific American,T
8952,Text,2005-09-01,"Scientific American, Volume 22, No. 1, January 1, 1870
A Weekly Journal of Practical Information, Art, Science, Mechanics, Chemistry, and Manufactures.",en,Various,Science -- Periodicals; Technology -- Periodicals,T,Scientific American,T
9148,Text,2005-10-01,"The Principal Navigations, Voyages, Traffiques and Discoveries of the English Nation — Volume 07
England's Naval Exploits Against Spain",en,"Hakluyt, Richard, 1552?-1616",Voyages and travels; Discoveries in geography -- English,G,,G
9177,Text,2005-10-01,"The Royal Game of the Ombre
Written at the Request of divers Honourable Persons—1665",en,Anonymous,Ombre (Game) -- Early works to 1800; Games -- England -- Early works to 1800,GV,,G
9198,Text,2005-10-01,The Complete Angler 1653,en,"Walton, Izaak, 1593-1683",Fishing -- Early works to 1800,SH,,S
9454,Text,2005-12-01,"Orchesography, or, the Art of Dancing
The Art of Dancing by Characters and Demonstrative Figures",en,"Feuillet, Raoul-Auger, 1660?-1710; Weaver, John, 1673-1760 [Translator]",Dance -- Early works to 1800,GV,,G
9548,Text,2006-01-09,"Honore de Balzac, His Life and Writings",en,"Sandars, Mary Frances, 1864-","Balzac, Honoré de, 1799-1850; Novelists, French -- 19th century -- Biography",CT; PQ,,C
9919,Text,2006-02-01,"The Mirror of Literature, Amusement, and Instruction. Volume 10, No. 266, July 28, 1827",en,Various,Popular literature -- Great Britain -- Periodicals,AP,"The Mirror of Literature, Amusement, and Instruction",A
